id,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Credit,Duration,Purpose,age_polarize
0,67,Male,2,Own,Na,Little,1169,Common,6,Radio/Tv,Old
1,22,Female,2,Own,Little,Moderate,5951,Standart,48,Radio/Tv,Young
2,49,Male,1,Own,Little,Na,2096,Common,12,Education,Old
3,45,Male,2,Free,Little,Little,7882,Default-Risk,42,Furniture/Equipment,Old
4,53,Male,2,Free,Little,Little,4870,Standart,24,Car,Old
5,35,Male,1,Free,Na,Na,9055,Default-Risk,36,Education,Young
6,53,Male,2,Own,Quite Rich,Na,2835,Common,24,Furniture/Equipment,Old
7,35,Male,3,Rent,Little,Moderate,6948,Standart,36,Car,Young
8,61,Male,1,Own,Rich,Na,3059,Standart,12,Radio/Tv,Old
9,28,Male,3,Own,Little,Moderate,5234,Standart,30,Car,Young
10,25,Female,2,Rent,Little,Moderate,1295,Common,12,Car,Young
11,24,Female,2,Rent,Little,Little,4308,Standart,48,Business,Young
12,22,Female,2,Own,Little,Moderate,1567,Common,12,Radio/Tv,Young
13,60,Male,1,Own,Little,Little,1199,Common,24,Car,Old
14,28,Female,2,Rent,Little,Little,1403,Common,15,Car,Young
15,32,Female,1,Own,Moderate,Little,1282,Common,24,Radio/Tv,Young
16,53,Male,2,Own,Na,Na,2424,Common,24,Radio/Tv,Old
17,25,Male,2,Own,Na,Little,8072,Default-Risk,30,Business,Young
18,44,Female,3,Free,Little,Moderate,12579,Tail-Risk,24,Car,Young
19,31,Male,2,Own,Quite Rich,Na,3430,Standart,24,Radio/Tv,Young
20,48,Male,2,Own,Little,Na,2134,Common,9,Car,Old
21,44,Male,2,Rent,Quite Rich,Little,2647,Common,6,Radio/Tv,Young
22,48,Male,1,Rent,Little,Little,2241,Common,10,Car,Old
23,44,Male,2,Own,Moderate,Moderate,1804,Common,12,Car,Young
24,26,Male,2,Own,Na,Na,2069,Common,10,Furniture/Equipment,Young
25,36,Male,1,Own,Little,Little,1374,Common,6,Furniture/Equipment,Young
26,39,Male,1,Own,Little,Na,426,Low-Risk,6,Radio/Tv,Young
27,42,Female,2,Rent,Rich,Rich,409,Low-Risk,12,Radio/Tv,Young
28,34,Male,2,Own,Little,Moderate,2415,Common,7,Radio/Tv,Young
29,63,Male,2,Own,Little,Little,6836,Standart,60,Business,Old
30,36,Male,2,Own,Rich,Moderate,1913,Common,18,Business,Young
31,27,Male,2,Own,Little,Little,4020,Standart,24,Furniture/Equipment,Young
32,30,Male,2,Own,Moderate,Moderate,5866,Standart,18,Car,Young
33,57,Male,1,Rent,Na,Na,1264,Common,12,Business,Old
34,33,Female,3,Own,Little,Rich,1474,Common,12,Furniture/Equipment,Young
35,25,Male,1,Own,Little,Moderate,4746,Standart,45,Radio/Tv,Young
36,31,Male,2,Free,Little,Na,6110,Standart,48,Education,Young
37,37,Male,2,Own,Little,Rich,2100,Common,18,Radio/Tv,Young
38,37,Male,2,Own,Little,Rich,1225,Common,10,Domestic Appliances,Young
39,24,Male,2,Own,Little,Moderate,458,Low-Risk,9,Radio/Tv,Young
40,30,Male,3,Own,Quite Rich,Na,2333,Common,30,Radio/Tv,Young
